\ )
の .
, ,
</s> </s>
に .
. .
は ,
を their
た was
る is
て to
が although
と another
で only
し to
い have
" "
な yet
れ been
( (
) (
年 january
っ when
あ is
さ been
・ a.k.a.
も although
する directly
から from
り which
月 february
こと be
う simply
や such
く very
よ by
日 december
など such
2 2
1 1
その latter
『 titled
』 titled
的 purely
お which
ため consequently
3 3
ら others
- -11
この this
日本 american
られ presumably
つ namely
後 after
者 who
また also
よう rather
もの rather
4 4
第 41st
わ done
へ towards
行 conducted
人 people
まで until
駅 terminus
か why
これ this
5 10
市 township
す hopefully
ば alternatively
中 where
県 county
6 6
だ definitely
せ without
でき can
線 line
き them
10 20
7 7
かっ did
8 8
一 one
ん just
より its
化 transformation
時 time
放送 broadcast
9 13
国 states
時代 eras
場合 normally
現在 presently
ず but
大学 university
多 often
対 response
部 division
車 cars
性 precludes
それ this
家 banker
上 directly
12 22
間 between
学校 school
呼 colloquially
他 other
語 trilingual
: nov
機 airplanes
だっ had
大 major
戦 hard-fought
11 28
しかし however
使用 used
所 facility
号 15a
0 0
回 consecutive
世界 world
東京 london
受け receiving
会 committee
ま whole
目 fifth
軍 army
当時 was
持 possess
内 within
アメリカ argentinian
二 38th
前 before
存在 exist
作品 oeuvre
昭和 1951
名 names
む into
町 town
じ engagement
数 number
高 high
系 first-generation
次 6th
テレビ television
形 -type
等 include
学 comparative
番組 prime-time
地 area
可能 possible
なお previously
長 long
会社 company
のみ exception
万 100,000
法 prescribes
鉄道 railway
本 short
型 type
以降 onwards
区 district
研究 research
際 immediately
活動 active
使 used
見 seen
利用 accessible
用 portable
式 induction
彼 himself
用い used
バス bus
新 new
年代 1960s
関係 relationship
20 20
三 5th
開発 development
一般 commonly
および includes
以下 tabulated
約 approximately
平成 2007-8
地域 geographically
度 twice
時間 hours
位 ranked
一部 portions
中心 centered
け particular
出 down
作 adapted
考え thought
登場 incarnations
映画 film
分 minutes
とも together
選手 basketballer
さらに further
同年 march
多く many
下 under
局 bureaus
氏 earls
言 say
開始 commenced
! !
版 version
党 party
知 famous
初 first-ever
| |
だけ so
30 30
書 handwritten
歳 aged
問題 problem
ぶ shortest
元 former
生 post-college
15 15
点 parallels
設置 centrally-located
州 catamarca
必要 require
ゲーム game
場 venue
% %
以上 least
\/ /
歴史 historical
社 mcgraw-hill
代表 represented
発表 announcement
発売 rereleased
事 because
シリーズ series
含 comprise
権 rights
事業 undertakings
力 strength
たち who
路線 mainline
世 vii
代 succeeded
] |
関 relating
[ |
概要 overview
側 sides
同じ identical
郡 county
変更 changed
